paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
YCIZDRA2,2020_Filonchyk_Impact Assessment of COVID-19 on Variations of SO2 NO2 CO and AOD over East.pdf,'aura/omi'(2); 'aqua/airs'(2); 'aqua/modis'(2); 'aura/omi----level 3'(1); 'aqua/modis----level 2'(1); 'terra/modis----level 2'(1), ,OMNO2d;OMSO2e;AIRS3C2D,OMSO2e;AIRX3STD;OMI_MINDS_NO2,,,1, 2, 2
8UBZNJZ6,2018_Dhomse_Estimates of ozone return dates from Chemistry-Climate Model Initiative.pdf,, ,ML2O3;ML2HCL;ML2CLO;SBUV2N09L2;SBUV2N11L2;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2,,,,0, 10, 0
ELDUMEXE,2017_Miyazaki_Evaluation of ACCMIP ozone simulations and ozonesonde sampling biases using a.pdf,'aura/mls'(1); 'aura/omi'(1); 'sentinel-5p/tropomi'(1), ,ML2O3;ML2HNO3;OMNO2,,,,0, 3, 0
249K6J59,2017_Herman_Enhanced stratospheric water vapor over the summertime continental United.pdf,'aura/mls'(17), 'merra'(1),ML2H2O,ML2H2O,,,1, 0, 0
TALKAAMX,2012_Ialongo_Ozone zonal asymmetry and planetary wave characterization during Antarctic.pdf,'aura/omi'(1); 'aura/mls'(1), ,OMTO3d;ML2O3,,,,0, 2, 0
R8LH2GFV,2011_Minschwaner_Hydroxyl in the stratosphere and mesosphere – Part 1.pdf,'aura/mls'(1), ,ML2OH;ML2O3;ML2H2O,,,,0, 3, 0
JLZCHFYS,2010_Liu_Validation of Ozone Monitoring Instrument (OMI) ozone profiles and.pdf,'aura/omi'(3); 'aura/mls'(2); 'scisat-1/ace/ace-fts'(1), ,ML2O3;OMTO3;OMDOAO3,,,,0, 3, 0
DCLYY7FH,2006_Jing_Summertime tropospheric ozone columns from Aura OMI-MLS measurements versus.pdf,'aura/mls'(3); 'aura/omi'(3); 'aura/omi----level 3'(1); 'aura/mls----level 3'(1); 'uars/mls'(1), 'geos-chem'(2),ML2O3;OMTO3d;OMTO3e,OMTO3e;GozMmlpO3,,,1, 2, 1
NSVVXI2C,2009_Massart_First steps towards the assimilation of IASI ozone data into the MOCAGE-PALM.pdf,'aura/mls'(2); 'aura/omi'(2); 'uars/haloe'(1), ,ML2O3;OMDOAO3,,,,0, 2, 0
HXK4YQAY,2013_Jain_Role of convection in hydration of tropical UTLS.pdf,'aura/mls'(10), ,ML2H2O;ML2T,ML2H2O;ML2T,,,2, 0, 0
QSQTDHMN,2019_Hakim_Evaluation of tropospheric ozone and ozone precursors in simulations from the.pdf,'aura/mls'(4); 'aura/omi'(4), 'geos-chem'(1),OMTO3;ML2O3,OMTO3e;GozMmlpO3,,,0, 2, 2
8XFSQVXP,2015_Nedoluha_The decrease in mid-stratospheric tropical ozone since 1991.pdf,'aura/mls'(2), ,UARHA2FN;UARHA3AT;ML2O3;ML2N2O,GozMmlpO3,,,0, 4, 1
