paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
AI5SBBH6,2017_Sato_Frequency spectra and vertical profiles of wind fluctuations in the summer.pdf,'aura/mls'(4); 'aura/mls----level 2'(1), ,ML2T,ML2T,,,1, 0, 0
SUXEIKEV,2016_Hubert_Ground-based assessment of the bias and long-term stability of 14 limb and.pdf,'aura/mls'(45); 'uars/mls'(28); 'uars/haloe'(9); 'erbs/sage ii'(1); 'meteor-3m/sage iii'(1), 'merra'(5),UARHA2FN;UARHA3AT;UARML3AT;UARML3AL;ML2O3,ML2CO;ML2GPH;GozMmlpO3;ML2O3;ML2T;UARML3AL;UARHA2FN,,,3, 2, 4
RNHI49ZG,2015_Tukiainen_GOMOS bright limb ozone data set.pdf,'aura/mls'(2), ,ML2O3,ML2O3,,,1, 0, 0
PQPLZX3X,2009_Kishore_Global temperature estimates in the troposphere and stratosphere.pdf,'aura/mls'(2), ,ML2T,ML2T,,,1, 0, 0
VGGWN59M,2019_Pérez‐Invernón_Global Occurrence and Chemical Impact of Stratospheric Blue Jets Modeled With.pdf,'aura/mls'(7); 'aura/omi'(1), 'geos-chem'(1),ML2N2O,OMNO2d;ML2N2O;OMI_MINDS_NO2,,,1, 0, 2
HDPPX4GX,2008_Kinnison_Global observations of HNO sub3-sub from the High Resolution Dynamics Limb.pdf,'aura/mls'(18); 'aura/hirdls'(16); 'aura/omi'(1); 'uars/mls'(1), ,HIRDLS2;ML2HNO3,H3ZFCO3;OMUFPITMET;OMTO3e;H3ZFCHNO3;H3ZFCT;GozMmlpHNO3;ML2HNO3;GozMmlpO3;OMI_MINDS_NO2;ML2O3;ML2T;UARML3AL,,,1, 1, 11
YTZKCHJH,2010_Yan_Global observations of gravity waves from High Resolution Dynamics Limb Sounder.pdf,'aura/hirdls'(1); 'aura/mls'(1), ,HIRDLS2;ML2IWC,ML2T;H3ZFCT,,,0, 2, 2
5JEGQ2RV,2017_Choi_Global O sub3-sub –CO correlations in a chemistry and transport model.pdf,'aura/omi'(1); 'aura/mls'(1), 'merra'(45); 'geos-5'(6); 'geos-chem'(2),OMTO3d;OMTO3e;ML2O3;TOMSEPL3,ML3DBOH;OMTO3e;ML2CO;ML2O3;OMI_MINDS_NO2,,,2, 2, 3
27J8B4NU,2008_Alexander_Global estimates of gravity wave momentum flux from High Resolution Dynamics.pdf,'uars/mls'(3); 'aura/hirdls'(1), ,HIRDLS2;UARML3AT;UARML3AL;AIRX3STD;AIRS3STD,UARML3AL;H3ZFCT,,,1, 4, 1
E2NTYU89,2009_Wespes_Global distributions of nitric acid from IASI-MetOP measurements.pdf,'terra/modis'(1); 'uars/mls'(1); 'aura/mls'(1), ,ML2HNO3;UARML3AT;UARML3AL,GozMmlpHNO3;ML2HNO3,,,1, 2, 1
7RH6T8E5,2016_Pancheva_Global distribution and variability of quasi 2 day waves based on the.pdf,'aura/mls'(4), ,ML2GPH,,,,0, 1, 0
548TE5LI,2014_Cooper_Global distribution and trends of tropospheric ozone.pdf,, ,OMTO3d;OMTO3e;ML2O3,,,,0, 3, 0
F5WNB5LD,2014_Warner_Global carbon monoxide products from combined AIRS TES and MLS measurements on.pdf,'aura/mls'(2); 'aqua/airs'(1), ,AIRX3STD;AIRS3STD;ML2CO,ML2H2O;AIRX3STD;ML2T;ML2CO,,,2, 1, 2
D5XAMD5N,2007_Liu_Geographical and seasonal distribution of tropical tropopause thin clouds and.pdf,'trmm/pr'(8); 'trmm/virs'(4); 'uars/mls'(4); 'aura/mls'(2); 'uars/haloe'(1), ,ML2IWC;ML2H2O;ML2CO;ML2RHI,GozMmlpH2O;ML2H2O;ML2CO,,,2, 2, 1
5QGRLN8E,2012_Huang_Geographic and seasonal distributions of CO transport pathways and their roles.pdf,'aura/mls'(5); 'aqua/airs'(1), 'merra'(12),ML2CO,AIRX3STD;ML2T;ML2CO,,,1, 0, 2
NAREDT9Q,2011_Thiéblemont_Frozen-in anticyclones occurring in polar Northern Hemisphere during springtime.pdf,'aura/mls'(1), ,ML2T;ML2H2O;ML2N2O;ML2O3,ML2H2O;ML2N2O;ML2T,,,3, 1, 0
