paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
YCIZDRA2,2020_Filonchyk_Impact Assessment of COVID-19 on Variations of SO2 NO2 CO and AOD over East.pdf,'aura/omi'(2); 'aqua/airs'(2); 'aqua/modis'(2); 'aura/omi----level 3'(1); 'aqua/modis----level 2'(1); 'terra/modis----level 2'(1), ,OMNO2d;OMSO2e;AIRS3C2D,OMI_MINDS_NO2;MSVOLSO2L4;OMNO2_CPR;AIRX2SUP;AIRH2RET;OMSO2e;OMNO2;OMSO2;AIRX2RET;OMNO2d;OMSO2G;AIRX3STD;OMNO2G;MSAQSO2L4;OMI_MINDS_NO2d,,,2, 1, 13
8UBZNJZ6,2018_Dhomse_Estimates of ozone return dates from Chemistry-Climate Model Initiative.pdf,, ,ML2O3;ML2HCL;ML2CLO;SBUV2N09L2;SBUV2N11L2;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2,,,,0, 10, 0
ELDUMEXE,2017_Miyazaki_Evaluation of ACCMIP ozone simulations and ozonesonde sampling biases using a.pdf,'aura/mls'(1); 'aura/omi'(1); 'sentinel-5p/tropomi'(1), ,ML2O3;ML2HNO3;OMNO2,S5P_L2__AER_LH_HiR;S5P_L2__O3_TOT_HiR;OMO3PR;S5P_L2__O3_TOT;S5P_L2__NO2____HiR;OMI_MINDS_NO2d;OMI_MINDS_NO2;ML2N2O;OMTO3d;OMDOAO3e;GozSmlpN2O;ML2O3;ML2N2O_NRT;OMTO3G;ML2HNO3_NRT;OMNO2d;OMTO3e;S5P_L2__O3_TCL;OMDOAO3;OMNO2_CPR;OMNO2;ML2DGG;ML2HNO3;ML2O3_NRT;S5P_L2__NO2___;GozMmlpO3;OMNO2G;ML3DBHNO3,,,3, 0, 25
249K6J59,2017_Herman_Enhanced stratospheric water vapor over the summertime continental United.pdf,'aura/mls'(17), 'merra'(1),ML2H2O,ML2RHI;ML3MBT;ML2DGG;ML3DZT;ML2T;ML3DBT;ML2H2O,,,1, 0, 6
TALKAAMX,2012_Ialongo_Ozone zonal asymmetry and planetary wave characterization during Antarctic.pdf,'aura/omi'(1); 'aura/mls'(1), ,OMTO3d;ML2O3,OMTO3d;OMDOAO3e;ML2DGG;OMTO3e;ML2O3;ML2O3_NRT;OMO3PR;GozMmlpO3;OMTO3G;OMDOAO3,,,2, 0, 8
R8LH2GFV,2011_Minschwaner_Hydroxyl in the stratosphere and mesosphere – Part 1.pdf,'aura/mls'(1), ,ML2OH;ML2O3;ML2H2O,GozMmlpO3;ML2RHI;ML3DBOH;ML3MBT;ML2OH;ML2DGG;ML2O3_NRT;ML2O3;ML3DZT;ML3DZOH;ML2T;ML3DBT;ML2H2O,,,3, 0, 10
JLZCHFYS,2010_Liu_Validation of Ozone Monitoring Instrument (OMI) ozone profiles and.pdf,'aura/omi'(3); 'aura/mls'(2); 'scisat-1/ace/ace-fts'(1), ,ML2O3;OMTO3;OMDOAO3,OMTO3d;OMDOAO3e;ML2DGG;ML2O3_NRT;ML2O3;OMTO3e;OMO3PR;GozMmlpO3;OMTO3G;OMDOAO3,,,2, 1, 8
DCLYY7FH,2006_Jing_Summertime tropospheric ozone columns from Aura OMI-MLS measurements versus.pdf,'aura/mls'(3); 'aura/omi'(3); 'aura/omi----level 3'(1); 'aura/mls----level 3'(1); 'uars/mls'(1), 'geos-chem'(2),ML2O3;OMTO3d;OMTO3e,OMI_MINDS_NO2d;OMI_MINDS_NO2;GozSmlpO3;ML3MBO3;UARML3AT;OMTO3d;OMDOAO3e;UARML3AL;ML3DBO3;ML2DGG;ML2O3_NRT;ML2O3;OMTO3e;ML3DZO3;OMO3PR;GozMmlpO3;OMTO3G;OMDOAO3,,,3, 0, 15
NSVVXI2C,2009_Massart_First steps towards the assimilation of IASI ozone data into the MOCAGE-PALM.pdf,'aura/mls'(2); 'aura/omi'(2); 'uars/haloe'(1), ,ML2O3;OMDOAO3,GozSmlpO3;UARHA3AT;OMTO3d;OMDOAO3e;UARHA2FN;ML3DBCO;OMDOAO3;ML2DGG;ML2O3_NRT;ML2O3;OMTO3e;OMO3PR;GozMmlpO3;OMTO3G;ML2CO;ML2CO_NRT,,,2, 0, 14
HXK4YQAY,2013_Jain_Role of convection in hydration of tropical UTLS.pdf,'aura/mls'(10), ,ML2H2O;ML2T,ML2RHI;ML3MBT;ML2DGG;ML3DZT;ML2T;ML3DBT;ML2H2O,,,2, 0, 5
QSQTDHMN,2019_Hakim_Evaluation of tropospheric ozone and ozone precursors in simulations from the.pdf,'aura/mls'(4); 'aura/omi'(4), 'geos-chem'(1),OMTO3;ML2O3,OMTO3d;OMDOAO3e;ML2DGG;ML2O3_NRT;ML2O3;OMTO3e;OMO3PR;GozMmlpO3;OMTO3G;OMDOAO3,,,1, 1, 9
8XFSQVXP,2015_Nedoluha_The decrease in mid-stratospheric tropical ozone since 1991.pdf,'aura/mls'(2), ,UARHA2FN;UARHA3AT;ML2O3;ML2N2O,ML2N2O;GozSmlpN2O;ML2N2O_NRT;ML2DGG;ML2O3_NRT;ML2O3;GozMmlpO3,,,2, 2, 5
VTMCY8BC,2018_Laiolo_Long-term eruptive trends from space-based thermal and SO2 emissions.pdf,'terra/modis'(2); 'aqua/modis'(1); 'aura/omi'(1), ,OMSO2G;MOD08_M3,MOD11CM1D;MSAQSO2L4;MSVOLSO2L4;OMSO2e;OMVFPITMET;MAM07S0;OMSO2;OMSO2G;MAC06S1;OMMYDCLD;MAM06S0;MAC06S0;MOD11CM1N;OMUFPITMET;MYD11CM1N,,,1, 1, 14
