paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
397XLMDA,2020_Yeditha_Forecasting of extreme flood events using different satellite precipitation.pdf,, 'imerg'(1),TRMM_3B42RT,,,,0, 1, 0
VTMCY8BC,2018_Laiolo_Long-term eruptive trends from space-based thermal and SO2 emissions.pdf,'terra/modis'(2); 'aqua/modis'(1); 'aura/omi'(1), ,OMSO2G;MOD08_M3,OMSO2G;MYD11CM1D;OMSO2_CPR;MYD11CM1N;MSVOLSO2L4;OMUFPITMET;OMVFPITMET;OMSO2;OMSO2e;MAC06S0;MOD11CM1D;OMMYDCLD;MAC07S0;MAM06S0;MAM07S0;MAC06S1;MOD11CM1N;MAC07S1;MSAQSO2L4,,,1, 1, 18
2HJITQDX,2020_Lefèvre_Amazon River propagation evidenced by a CO2 decrease at 8°N 38°W in September.pdf,'aqua/modis'(1), ,GPCPMON;MODISA_L3m_CHL;TRMM_3B43,,,,0, 3, 0
D2J6KSSA,2017_Boiyo_Statistical intercomparison and validation of multisensory aerosol optical.pdf,'trmm/pr'(1); 'terra/modis'(1), ,TRMM_3B43;MOD08_M3;MOD08_D3;OMAERO;MIL3DAE;MIL3MAE,MOD11CM1D;MOD11CM1N,,,0, 6, 2
C5IUWTCN,2019_Jurkowski_Evaluating Evapotranspiration in Humid Subtropical and Semi-Arid Climates with.pdf,'terra/modis'(3); 'aqua/modis'(2); 'aqua/amsr-e'(1); 'trmm/tmi'(1), 'penman-monteith'(3),GLDAS_NOAH025_3H,,,,0, 1, 0
NPAGPV4I,2020_Sabetghadam_Aerosol climatology and determination of different types over the semi-arid.pdf,'terra/modis'(1); 'aqua/modis'(1); 'aura/omi'(1), ,MOD08_D3;MYD08_D3;OMAERUVd,,,,0, 3, 0
7LAWEG2R,2018_Tariq_Spatio-temporal distributions and trends of aerosol parameters over Pakistan.pdf,'terra/modis'(8); 'aqua/modis'(3), ,MOD08_M3;MIL3MAE;SWDB_L3M10,,,,0, 3, 0
XTJP3XAU,2017_Sulochana_Rainrate and rain attenuation statistics for different homogeneous regions of.pdf,, 'tmpa'(1),TRMM_3B43;GPCPMON,,,,0, 2, 0
T82YTFLG,2018_McCoy_Predicting decadal trends in cloud droplet number concentration using.pdf,, 'merra'(15),M2TMNXAER;M2T1NXAER;OMSO2e;M2TMNXADG;M2T1NXADG,,,,0, 5, 0
4IT3KH5W,2019_Salmabadi_Monitoring of SO2 column concentration over Iran using satellite-based.pdf,'aura/omi'(2); 'aura/mls'(1); 'aqua/modis'(1); 'meteosat/seviri'(1); 'aqua/airs'(1); 'nimbus-4/buv'(1), ,OMSO2e,OMSO2G;MSVOLSO2L4;AIRX2SUP;OMSO2_CPR;ML2SO2_NRT;AIRH2RET;ML3DBSO2;AIRH2SUP;AIRX2RET;ML2SO2;OMSO2;OMSO2e;ML3DZSO2;ML2DGG;MSAQSO2L4;ML3MBSO2,,,1, 0, 15
CN7EVKJD,2019_Gillani_Appraisal of Urban Heat Island over Gujranwala and its Environmental Impact.pdf,, ,M2TMNXAER;M2TMNXCHM;AIRX3C2M;AIRS3C2M;OMNO2d;OMSO2e,,,,0, 6, 0
3K42IKBK,2018_Christodoulakis_The deterioration of materials as a result of air pollution as derived from.pdf,, ,OMTO3e;AIRS3STM;MOD11C3;OMSO2e;OMNO2d;MYD08_M3,,,,0, 6, 0
MQTQBMUT,2019_Darbyshire_The vertical distribution of biomass burning pollution over tropical South.pdf,, ,MOD08_D3;TRMM_3B42_Daily,,,,0, 2, 0
8KY6FK7W,2018_Jury_Climatic modulation of early summer dust emissions over West Africa.pdf,, 'merra'(9),OMAEROe;OMAERUVd;MOD13C2;MYD13C2;MAT1NXSLV;MAIMCPASM;MATMNXSLV;MIL3MAE;MIL3DAE;MOD08_D3;MOD08_M3;MYD08_D3;MYD08_M3,,,,0, 13, 0
7GIAH4M4,2016_Carmenta_Does the Establishment of Sustainable Use Reserves Affect Fire Management in.pdf,'terra/modis'(1); 'aqua/modis'(1), ,TRMM_3B42_Daily,,,,0, 1, 0
GGSFCMJQ,2019_Rupakheti_Aerosol optical depth climatology over Central Asian countries based on.pdf,'aqua/modis'(5); 'terra/modis'(1), ,TRMM_3B43;AIRX3STM;AIRS3STM;M2IMNPANA,,,,0, 4, 0
T8CKSEVM,2018_Khaki_Efficient basin scale filtering of GRACE satellite products.pdf,, ,GLDAS_NOAH025_M;GLDAS_NOAH10_M;TRMM_3B43,,,,0, 3, 0
