paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
YCIZDRA2,2020_Filonchyk_Impact Assessment of COVID-19 on Variations of SO2 NO2 CO and AOD over East.pdf,'aura/omi'(2); 'aqua/airs'(2); 'aqua/modis'(2); 'aura/omi----level 3'(1); 'aqua/modis----level 2'(1); 'terra/modis----level 2'(1), ,OMNO2d;OMSO2e;AIRS3C2D,AIRX3STD;OMSO2G;OMI_MINDS_NO2;OMNO2;AIRS3STM;AIRIBRAD;AIRS2RET;AIRS2SUP;OMSO2_CPR;AIRS3SPD;OMNO2G;OMNO2_CPR;OMNO2d;MSAQSO2L4;OMI_MINDS_NO2d;AIRH2SUP;OMSO2;AIRS3STD;MSVOLSO2L4;AIRX2RET;OMSO2e;OMPS_NPP_NMSO2_PCA_L2;AIRX2SUP;AIRH2RET;AIRS2RET_NRT,,,2, 1, 23
8UBZNJZ6,2018_Dhomse_Estimates of ozone return dates from Chemistry-Climate Model Initiative.pdf,, ,ML2O3;ML2HCL;ML2CLO;SBUV2N09L2;SBUV2N11L2;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2,,,,0, 10, 0
ELDUMEXE,2017_Miyazaki_Evaluation of ACCMIP ozone simulations and ozonesonde sampling biases using a.pdf,'aura/mls'(1); 'aura/omi'(1); 'sentinel-5p/tropomi'(1), ,ML2O3;ML2HNO3;OMNO2,ML2HNO3_NRT;S5P_L2__AER_LH;ML3MBO3;OMI_MINDS_NO2;ML3DBN2O;OMDOAO3G;OMNO2;ML2N2O_NRT;OMDOAO3e;OMTO3G;GozSmlpO3;ML2O3;ML3MBHNO3;GozSmlpHNO3;S5P_L2__O3_TOT;OMNO2G;ML2O3_NRT;OMTO3e;OMTO3d;OMNO2_CPR;S5P_L2__AER_LH_HiR;GozMmlpHNO3;GozMmlpO3;OMNO2d;ML3DZN2O;OMDOAO3Z;ML3DZO3;OMI_MINDS_NO2d;ML3MBN2O;S5P_L2__NO2____HiR;ML3DBHNO3;ML3DZHNO3;ML2DGG;S5P_L2__O3_TOT_HiR;ML2N2O;ML2HNO3;S5P_L2__O3_TCL;OMDOAO3;GozSmlpN2O;ML3DBO3;S5P_L2__CO____;OMO3PR;S5P_L2__NO2___;GozMmlpN2O;S5P_L2__CO_____HiR,,,3, 0, 42
249K6J59,2017_Herman_Enhanced stratospheric water vapor over the summertime continental United.pdf,'aura/mls'(17), 'merra'(1),ML2H2O,ML2T_NRT;ML3DZH2O;ML3DBHCN;ML2H2O;ML3DBCLO;ML3MBH2O;ML3MBT;GozMmlpH2O;ML3DBCH3CL;ML3DBT;ML3DBH2O;ML2DGG;ML2H2O_NRT;ML2T;ML3DZT;GozSmlpH2O,,,1, 0, 15
TALKAAMX,2012_Ialongo_Ozone zonal asymmetry and planetary wave characterization during Antarctic.pdf,'aura/omi'(1); 'aura/mls'(1), ,OMTO3d;ML2O3,ML3DZO3;ML2O3;ML3MBO3;OMDOAO3;OMDOAO3G;OMDOAO3e;OMTO3e;OMTO3d;OMDOAO3Z;ML2O3_NRT;ML3DBO3;ML2DGG;OMO3PR;GozMmlpO3;OMTO3G;GozSmlpO3,,,2, 0, 14
R8LH2GFV,2011_Minschwaner_Hydroxyl in the stratosphere and mesosphere – Part 1.pdf,'aura/mls'(1), ,ML2OH;ML2O3;ML2H2O,ML2H2O;ML3MBO3;ML3MBH2O;ML3MBOH;ML3DZT;ML2T;ML3DBOH;GozSmlpO3;ML2O3;ML3DZH2O;ML3DBCLO;ML2O3_NRT;ML3DBH2O;GozMmlpO3;GozSmlpH2O;ML3DZO3;ML2T_NRT;ML3DBHCN;GozMmlpH2O;ML3DZOH;ML3DBCH3CL;ML2OH;ML2H2O_NRT;ML2DGG;ML3MBT;ML3DBT;ML3DBO3,,,3, 0, 24
JLZCHFYS,2010_Liu_Validation of Ozone Monitoring Instrument (OMI) ozone profiles and.pdf,'aura/omi'(3); 'aura/mls'(2); 'scisat-1/ace/ace-fts'(1), ,ML2O3;OMTO3;OMDOAO3,ML3DZO3;ML2O3;OMO3PR;ML3MBO3;OMDOAO3;OMDOAO3G;ML2O3_NRT;OMTO3e;OMDOAO3e;OMTO3d;OMDOAO3Z;ML3DBO3;ML2DGG;GozMmlpO3;OMTO3G;GozSmlpO3,,,2, 1, 14
DCLYY7FH,2006_Jing_Summertime tropospheric ozone columns from Aura OMI-MLS measurements versus.pdf,'aura/mls'(3); 'aura/omi'(3); 'aura/omi----level 3'(1); 'aura/mls----level 3'(1); 'uars/mls'(1), 'geos-chem'(2),ML2O3;OMTO3d;OMTO3e,ML3MBO3;OMI_MINDS_NO2;OMDOAO3G;OMDOAO3e;UARML3AL;OMTO3G;GozSmlpO3;UARML3AT;ML2O3;ML2O3_NRT;OMTO3e;OMTO3d;GozMmlpO3;OMNO2d;OMDOAO3Z;ML3DZO3;OMI_MINDS_NO2d;OMAEROe;ML2DGG;OMSO2e;OMDOAO3;MSLERLSTL3zm;ML3DBO3;MSLERNNL3zm;OMO3PR,,,3, 0, 22
NSVVXI2C,2009_Massart_First steps towards the assimilation of IASI ozone data into the MOCAGE-PALM.pdf,'aura/mls'(2); 'aura/omi'(2); 'uars/haloe'(1), ,ML2O3;OMDOAO3,ML3MBO3;ML2CO_NRT;OMDOAO3G;OMDOAO3e;OMTO3G;GozSmlpO3;ML2O3;ML2O3_NRT;OMTO3e;OMTO3d;GozMmlpO3;OMDOAO3Z;ML3DZO3;UARHA3AT;ML3MBCO;ML3DBCO;UARHA2FN;ML2DGG;ML2CO;ML3DZCO;OMDOAO3;ML3DBO3;OMO3PR,,,2, 0, 21
HXK4YQAY,2013_Jain_Role of convection in hydration of tropical UTLS.pdf,'aura/mls'(10), ,ML2H2O;ML2T,ML2T_NRT;ML3DZH2O;ML3DBHCN;ML2H2O;ML3DBCLO;ML3MBH2O;ML3MBT;GozMmlpH2O;ML3DBCH3CL;ML3DBT;ML3DBH2O;ML2DGG;ML2H2O_NRT;ML2T;ML3DZT;GozSmlpH2O,,,2, 0, 14
