paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
YCIZDRA2,2020_Filonchyk_Impact Assessment of COVID-19 on Variations of SO2 NO2 CO and AOD over East.pdf,'aura/omi'(2); 'aqua/airs'(2); 'aqua/modis'(2); 'aura/omi----level 3'(1); 'aqua/modis----level 2'(1); 'terra/modis----level 2'(1), ,OMNO2d;OMSO2e;AIRS3C2D,AIRH2SUP;OMNO2d;OMNO2;AIRH2RET;OMI_MINDS_NO2;OMNO2G;OMSO2G;AIRX2RET;OMI_MINDS_NO2d;OMSO2;AIRX2SUP;OMNO2_CPR;OMSO2_CPR;MSAQSO2L4;AIRX3STD;OMPS_NPP_NMSO2_PCA_L2;AIRS3STD;OMSO2e;MSVOLSO2L4,,,2, 1, 17
8UBZNJZ6,2018_Dhomse_Estimates of ozone return dates from Chemistry-Climate Model Initiative.pdf,, ,ML2O3;ML2HCL;ML2CLO;SBUV2N09L2;SBUV2N11L2;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2,,,,0, 10, 0
ELDUMEXE,2017_Miyazaki_Evaluation of ACCMIP ozone simulations and ozonesonde sampling biases using a.pdf,'aura/mls'(1); 'aura/omi'(1); 'sentinel-5p/tropomi'(1), ,ML2O3;ML2HNO3;OMNO2,ML3MBO3;OMTO3d;S5P_L2__CO_____HiR;OMNO2d;ML2HNO3;OMNO2;OMI_MINDS_NO2;ML3DZN2O;ML3DBO3;ML2O3;OMDOAO3e;S5P_L2__O3_TOT;S5P_L2__NO2____HiR;ML3DBN2O;ML3MBN2O;OMNO2G;OMO3PR;S5P_L2__CO____;OMI_MINDS_NO2d;ML2DGG;ML3DBHNO3;OMDOAO3;S5P_L2__O3_TCL;S5P_L2__NO2___;OMNO2_CPR;ML2HNO3_NRT;S5P_L2__O3_TOT_HiR;OMDOAO3G;ML2N2O_NRT;ML3MBHNO3;OMTO3G;ML3DZHNO3;OMTO3e;ML2N2O;ML2O3_NRT;ML3DZO3,,,3, 0, 33
249K6J59,2017_Herman_Enhanced stratospheric water vapor over the summertime continental United.pdf,'aura/mls'(17), 'merra'(1),ML2H2O,ML3DBT;ML3DBHCN;ML3DBH2O;ML2H2O;ML3DZH2O;ML2H2O_NRT;ML3MBH2O;ML2T_NRT;ML3MBT;ML2T;ML3DBRHI;ML3DZT,,,1, 0, 11
TALKAAMX,2012_Ialongo_Ozone zonal asymmetry and planetary wave characterization during Antarctic.pdf,'aura/omi'(1); 'aura/mls'(1), ,OMTO3d;ML2O3,ML3MBO3;OMDOAO3;OMTO3d;OMTO3e;OMO3PR;ML2O3_NRT;OMDOAO3G;ML3DBO3;ML2DGG;ML2O3;OMDOAO3e;ML3DZO3;OMTO3G,,,2, 0, 11
R8LH2GFV,2011_Minschwaner_Hydroxyl in the stratosphere and mesosphere – Part 1.pdf,'aura/mls'(1), ,ML2OH;ML2O3;ML2H2O,ML3MBO3;ML3DBT;ML3DBO3;ML2T_NRT;ML2O3;ML3DBRHI;ML3DZT;ML2OH;ML3DZH2O;ML2T;ML2DGG;ML3DBHCN;ML3MBH2O;ML2H2O_NRT;ML3DZOH;ML3DBH2O;ML2H2O;ML3MBOH;ML3DBOH;ML2O3_NRT;ML3MBT;ML3DZO3,,,3, 0, 19
JLZCHFYS,2010_Liu_Validation of Ozone Monitoring Instrument (OMI) ozone profiles and.pdf,'aura/omi'(3); 'aura/mls'(2); 'scisat-1/ace/ace-fts'(1), ,ML2O3;OMTO3;OMDOAO3,ML3MBO3;OMTO3d;OMDOAO3;OMTO3e;OMTO3G;OMO3PR;ML2O3_NRT;ML3DBO3;OMDOAO3G;ML2O3;OMDOAO3e;ML3DZO3;ML2DGG,,,2, 1, 11
DCLYY7FH,2006_Jing_Summertime tropospheric ozone columns from Aura OMI-MLS measurements versus.pdf,'aura/mls'(3); 'aura/omi'(3); 'aura/omi----level 3'(1); 'aura/mls----level 3'(1); 'uars/mls'(1), 'geos-chem'(2),ML2O3;OMTO3d;OMTO3e,ML3MBO3;OMTO3d;OMNO2d;GozSmlpO3;MSLERLSTL3zm;OMI_MINDS_NO2;ML3DBO3;ML2O3;OMDOAO3e;UARML3AL;OMO3PR;GozMmlpO3;OMI_MINDS_NO2d;ML2DGG;OMDOAO3;OMDOAO3G;MSLERNNL3zm;OMTO3G;OMTO3e;ML2O3_NRT;OMSO2e;ML3DZO3;UARML3AT,,,3, 0, 20
NSVVXI2C,2009_Massart_First steps towards the assimilation of IASI ozone data into the MOCAGE-PALM.pdf,'aura/mls'(2); 'aura/omi'(2); 'uars/haloe'(1), ,ML2O3;OMDOAO3,ML3MBO3;OMTO3d;GozSmlpO3;UARHA2FN;ML3DBO3;ML2O3;OMDOAO3e;ML2CO_NRT;OMO3PR;ML2CO;GozMmlpO3;UARHA3AT;ML3DBCO;ML2DGG;OMDOAO3;ML3MBCO;OMDOAO3G;ML3DZCO;OMTO3G;OMTO3e;ML2O3_NRT;ML3DZO3,,,2, 0, 20
HXK4YQAY,2013_Jain_Role of convection in hydration of tropical UTLS.pdf,'aura/mls'(10), ,ML2H2O;ML2T,ML3DBT;ML3DBHCN;ML3DBH2O;ML2H2O;ML3DZH2O;ML2H2O_NRT;ML3MBH2O;ML2T_NRT;ML3MBT;ML2T;ML3DBRHI;ML3DZT,,,2, 0, 10
