ShortName,LongName
TANSO-FTS,Thermal And Near Infrared Sensor For Carbon Observation
AMSU-A,Advanced Microwave Sounding Unit-A
AIRS,Atmospheric Infrared Sounder
HSB,Humidity Sounder for Brazil
CloudSat-CPR,CloudSat Cloud Profiling Radar
MODIS,Moderate-Resolution Imaging Spectroradiometer
MLS,Microwave Limb Sounder
AMSR-E,Advanced Microwave Scanning Radiometer-EOS
AMSR2,Advanced Microwave Scanning Radiometer 2
BUV,Backscatter Ultraviolet
CAR,Cloud Absorption Radiometer
NOT APPLICABLE,
ESMR,Electrically Scanning Microwave Radiometer
HALOE,Halogen Occultation Experiment
ACE-FTS,Fourier Transform Spectrometer
SAGE I,Stratospheric Aerosol and Gas Experiment I
SAGE II,Stratospheric Aerosol and Gas Experiment II
SAGE III,Stratospheric Aerosol and Gas Experiment III
SSMIS,Special Sensor Microwave Imager/Sounder
SSM/I,Special Sensor Microwave/Imager
TOVS,TIROS Operational Vertical Sounder
GOES-15 Imager,Geostationary Operational Environmental Satellite 15-Imager
GOES-16 Imager,Geostationary Operational Environmental Satellite 16-Imager
VISSR-METEOSAT,Visible and Infrared Spin Scan Radiometer (METEOSAT Series)
VISSR-GMS,Visible and Infrared Spin Scan Radiometer (GMS Series)
MTSAT 1R Imager,
MTSAT 2 Imager,
AHI,Advanced Himawari Imager
RAIN GAUGES,
GMI,Global Precipitation Measurement Microwave Imager
TMI,TRMM Microwave Imager
VIRS,TRMM Visible Infrared Scanner
PR,TRMM Precipitation Radar
MHS,Microwave Humidity Sounder
SAPHIR,
AMSU-B,Advanced Microwave Sounding Unit-B
ATMS,Advanced Technology Microwave Sounder
DPR,Dual-frequency Precipitation Radar
RO,GPS Radio Occultation Receiver
HIRDLS,High-Resolution Dynamics Limb Sounder
HIRS,High Resolution Infrared Radiation Sounder
HRIR,High-Resolution Infrared Radiometer
IRIS,Infrared Interferometer Spectrometer
LIMS,Limb Infrared Monitor of the Stratosphere
WINDSAT,WindSat
LRIR,Limb Radiance Inversion Radiometer
MRIR,Medium Resolution Infrared Radiometer
OMI,Ozone Monitoring Instrument
OMPS,Ozone Mapping and Profiler Suite
TOMS,Total Ozone Mapping Spectrometer
SBUV,Solar Backscatter Ultraviolet
SBUV/2,Solar Backscatter Ultraviolet/2
SEAWIFS,Sea-Viewing Wide Field-of-View Sensor
MSU,Microwave Sounding Unit
OCO SPECTROMETERS,Orbiting Carbon Observatory Spectrometers
AVHRR,Advanced Very High Resolution Radiometer
OCO-2,Orbiting Carbon Observatory - 2
OCO-3,Orbiting Carbon Observatory - 3
POLDER-1,Polarization/Directionality of the Earth's Reflectance-1
PMR,Pressure Modulated Radiometer
GOES I-M SOUNDER,
GOES I-M Imager,
WVSS,Water Vapor Sensing System
SEVIRI,Spinning Enhanced Visible and Infrared Imager
TROPOMI,TROPOspheric Monitoring Instrument
SAMS,Stratospheric and Mesospheric Sounder
SCAMS,
SCR,Selective Chopper Radiometer
SIRS,Satellite Infrared Spectrometer
SMMR,Scanning Multichannel Microwave Radiometer
CrIS,Cross-track Infrared Sounder
VIIRS,Visible-Infrared Imager-Radiometer Suite
SIM,Spectral Irradiance Monitor
SOLSTICE,Solar-Stellar Irradiance Comparison Experiment
TIM,Total Irradiance Monitor
XPS,XUV Photometer System
SSBUV,Shuttle Solar Backscatter Ultraviolet
THIR,Temperature-Humidity Infrared Radiometer
HIRS/2,High Resolution Infrared Radiation Sounder/2
NEXRAD,NEXt Generation RADar
CLAES,Cryogenic Limb Array Etalon Spectrometer
HRDI,High Resolution Doppler Imager
ISAMS,Improved Stratospheric And Mesospheric Sounder
PEM,Particle Environment Monitor
SUSIM,Solar Ultraviolet Spectral Irradiance Monitor
WINDII,Wind Imaging Interferometer
VISSR,Visible and Infrared Spin Scan Radiometer
INFRARED RADIOMETERS,
