BLING,Biology Light Iron Nutrient and Gas model
CASA-GFED3-V2,Carnegie-Ames-Stanford-Approach Global Fire Emissions Database 3 V2
CASA-GFED3-V3,Carnegie-Ames-Stanford-Approach Global Fire Emissions Database 3 V3
CLM-LSM,Common Land Model (CLM) Land Surface Model
CMS-Flux-V1,Carbon Monitoring System Flux V1
Catchment-LSM,Catchment Land Surface Model
Environmental Modeling,
FFDAS-V2,Fossil Fuel Data Assimilation System V2
Forcing-LSM,Forcing data for Land Surface Model
GDAS,Global Data Assimilation System
GEOS-5,Goddard EOS Data Assimilation System-5
GEOS-Chem,Global 3-D chemical transport model (CTM) for atmospheric composition driven by meteorological input from the Goddard > Earth Observing System (GEOS) of the NASA Global Modeling and Assimilation Office
GLPM,Great Lakes Production Model
IMERG,Integrated Multi-satellitE Retrievals for GPM
LANDMET,CCNY NOAA-CREST Land Surface Atmospheric Boundary Processing Method
MERRA,Modern-Era Retrospective Analysis for Research and Applications
MERRA-2,The second Modern-Era Retrospective analysis for Research and Applications
MITgcm,Massachusetts Institute of Technology General Circulation Model
Mosaic-LSM,Mosaic Land Surface Model
NCEP-CFSV2,NCEP Climate Forecast System Version 2
NCEP-GFS,NCEP Global Forecast System
NOBM,NASA Ocean Biogeochemical Model
Noah-LSM,Noah Land Surface Model
OBSERVATION BASED,OBSERVATION BASED ANALYSES
Penman-Monteith,Penman-Monteith Model with Enhanced Surface Resistance Parameterization
RM-OBS/PU,Hybrid of NCEP/NCAR Reanalysis Model and Observations by Princeton University
TMPA,TRMM Multi-Satellite Precipitation Analysis
Unified Model UM,United Kingdom Met Office (UKMO) Unified Model
VIC-LSM,Variable Infiltration Capacity (VIC) Land Surface Model
SBUV/2,Solar Backscatter Ultraviolet Radiometer
