~from, ~to, ~id, ~label
platform_1, instrument_1, edge_gosat->tanso-fts, contains
platform_2, instrument_2, edge_aqua->amsu-a, contains
platform_2, instrument_3, edge_aqua->airs, contains
platform_2, instrument_4, edge_aqua->hsb, contains
platform_3, instrument_5, edge_cloudsat->cloudsat-cpr, contains
platform_2, instrument_6, edge_aqua->modis, contains
platform_4, instrument_7, edge_aura->mls, contains
platform_2, instrument_8, edge_aqua->amsr-e, contains
platform_5, instrument_9, edge_gcom-w1->amsr2, contains
platform_6, instrument_10, edge_nimbus-4->buv, contains
platform_7, instrument_11, edge_nasa p-3->car, contains
platform_8, instrument_11, edge_c-131a->car, contains
platform_9, instrument_11, edge_convair-580->car, contains
platform_10, instrument_11, edge_j-31->car, contains
platform_11, instrument_11, edge_ac-690a->car, contains
platform_12, instrument_11, edge_nrl p-3->car, contains
platform_13, instrument_12, edge_cms-flux-v1->not applicable, contains
platform_14, instrument_12, edge_casa-gfed3-v2->not applicable, contains
platform_15, instrument_12, edge_ffdas-v2->not applicable, contains
platform_16, instrument_12, edge_ecco2_darwin-v3->not applicable, contains
platform_17, instrument_12, edge_ncep-cfsv2->not applicable, contains
platform_18, instrument_12, edge_glpm->not applicable, contains
platform_19, instrument_12, edge_environmental modeling->not applicable, contains
platform_20, instrument_12, edge_geos-chem->not applicable, contains
platform_21, instrument_12, edge_mitgcm->not applicable, contains
platform_22, instrument_12, edge_bling->not applicable, contains
platform_23, instrument_13, edge_nimbus-5->esmr, contains
platform_24, instrument_12, edge_noah-lsm->not applicable, contains
platform_25, instrument_12, edge_casa-gfed3-v3->not applicable, contains
platform_26, instrument_12, edge_clm-lsm->not applicable, contains
platform_27, instrument_12, edge_catchment-lsm->not applicable, contains
platform_28, instrument_12, edge_mosaic-lsm->not applicable, contains
platform_29, instrument_12, edge_vic-lsm->not applicable, contains
platform_30, instrument_14, edge_uars->haloe, contains
platform_30, instrument_7, edge_uars->mls, contains
platform_31, instrument_15, edge_scisat-1/ace->ace-fts, contains
platform_32, instrument_16, edge_aem-2->sage i, contains
platform_33, instrument_17, edge_erbs->sage ii, contains
platform_34, instrument_18, edge_meteor-3m->sage iii, contains
platform_35, instrument_12, edge_merra->not applicable, contains
platform_36, instrument_19, edge_dmsp->ssmis, contains
platform_36, instrument_20, edge_dmsp->ssm/i, contains
platform_37, instrument_21, edge_noaa poes->tovs, contains
platform_38, instrument_22, edge_goes->goes-15 imager, contains
platform_38, instrument_23, edge_goes->goes-16 imager, contains
platform_39, instrument_24, edge_meteosat->vissr-meteosat, contains
platform_40, instrument_25, edge_gms->vissr-gms, contains
platform_41, instrument_26, edge_mtsat->mtsat 1r imager, contains
platform_41, instrument_27, edge_mtsat->mtsat 2 imager, contains
platform_42, instrument_28, edge_himawari-8->ahi, contains
platform_43, instrument_29, edge_weather stations->rain gauges, contains
platform_44, instrument_30, edge_gpm->gmi, contains
platform_45, instrument_31, edge_trmm->tmi, contains
platform_45, instrument_32, edge_trmm->virs, contains
platform_45, instrument_33, edge_trmm->pr, contains
platform_46, instrument_20, edge_dmsp 5d-2/f8->ssm/i, contains
platform_47, instrument_20, edge_dmsp 5d-2/f10->ssm/i, contains
platform_48, instrument_20, edge_dmsp 5d-2/f11->ssm/i, contains
platform_49, instrument_20, edge_dmsp 5d-2/f13->ssm/i, contains
platform_50, instrument_20, edge_dmsp 5d-2/f14->ssm/i, contains
platform_51, instrument_20, edge_dmsp 5d-3/f15->ssm/i, contains
platform_52, instrument_19, edge_dmsp 5d-3/f16->ssmis, contains
platform_53, instrument_19, edge_dmsp 5d-3/f17->ssmis, contains
platform_54, instrument_19, edge_dmsp 5d-3/f18->ssmis, contains
platform_55, instrument_19, edge_dmsp 5d-3/f19->ssmis, contains
platform_56, instrument_34, edge_metop-a->mhs, contains
platform_57, instrument_34, edge_metop-b->mhs, contains
platform_58, instrument_34, edge_metop-c->mhs, contains
platform_59, instrument_35, edge_mt1->saphir, contains
platform_60, instrument_36, edge_noaa-15->amsu-b, contains
platform_61, instrument_36, edge_noaa-16->amsu-b, contains
platform_62, instrument_36, edge_noaa-17->amsu-b, contains
platform_63, instrument_34, edge_noaa-18->mhs, contains
platform_64, instrument_34, edge_noaa-19->mhs, contains
platform_65, instrument_37, edge_noaa-20->atms, contains
platform_66, instrument_37, edge_suomi-npp->atms, contains
platform_44, instrument_38, edge_gpm->dpr, contains
platform_52, instrument_20, edge_dmsp 5d-3/f16->ssm/i, contains
platform_53, instrument_20, edge_dmsp 5d-3/f17->ssm/i, contains
platform_54, instrument_20, edge_dmsp 5d-3/f18->ssm/i, contains
platform_55, instrument_20, edge_dmsp 5d-3/f19->ssm/i, contains
platform_67, instrument_12, edge_imerg->not applicable, contains
platform_68, instrument_12, edge_merged ir->not applicable, contains
platform_69, instrument_39, edge_tsx->ro, contains
platform_70, instrument_39, edge_cosmic/formosat-3->ro, contains
platform_71, instrument_12, edge_ncep-gfs->not applicable, contains
platform_72, instrument_20, edge_dmsp 5d-2/f15->ssm/i, contains
platform_4, instrument_40, edge_aura->hirdls, contains
platform_73, instrument_41, edge_nimbus-6->hirs, contains
