~id, name, ~label, long_name 
platform_1, gosat, platform, greenhouse gases observing satellite 
platform_2, aqua, platform, earth observing system, aqua 
platform_3, cloudsat, platform,  
platform_4, aura, platform, earth observing system, aura 
platform_5, gcom-w1, platform, global change observation mission 1st-water 
platform_6, nimbus-4, platform,  
platform_7, nasa p-3, platform,  
platform_8, c-131a, platform, convair c-131 samaritan 
platform_9, convair-580, platform, aircraft operated by university of washington 
platform_10, j-31, platform, j-31 aircraft 
platform_11, ac-690a, platform, aerocommander aircraft 
platform_12, nrl p-3, platform, aircraft operated by naval research lab 
platform_13, cms-flux-v1, platform, carbon monitoring system flux v1 
platform_14, casa-gfed3-v2, platform, carnegie-ames-stanford-approach global fire emissions database 3 v2 
platform_15, ffdas-v2, platform, fossil fuel data assimilation system v2 
platform_16, ecco2_darwin-v3, platform, estimating the circulation and climate of the ocean, phase ii; darwin-v3 
platform_17, ncep-cfsv2, platform, ncep climate forecast system version 2 
platform_18, glpm, platform, great lakes production model 
platform_19, environmental modeling, platform,  
platform_20, geos-chem, platform, global 3-d chemical transport model (ctm) for atmospheric composition driven by meteorological input from the goddard 
platform_21, mitgcm, platform, massachusetts institute of technology general circulation model 
platform_22, bling, platform, biology light iron nutrient and gas model 
platform_23, nimbus-5, platform,  
platform_24, noah-lsm, platform, noah land surface model 
platform_25, casa-gfed3-v3, platform, carnegie-ames-stanford-approach global fire emissions database 3 v3 
platform_26, clm-lsm, platform, common land model (clm) land surface model 
platform_27, catchment-lsm, platform, catchment land surface model 
platform_28, mosaic-lsm, platform, mosaic land surface model 
platform_29, vic-lsm, platform, variable infiltration capacity (vic) land surface model 
platform_30, uars, platform, upper atmosphere research satellite 
platform_31, scisat-1/ace, platform, atmospheric chemistry experiment 
platform_32, aem-2, platform, applications explorer mission-2 
platform_33, erbs, platform, earth radiation budget satellite 
platform_34, meteor-3m, platform,  
platform_35, merra, platform, modern-era retrospective analysis for research and applications 
platform_36, dmsp, platform, defense meteorological satellite program 
platform_37, noaa poes, platform, noaa polar orbiting environmental satellites 
platform_38, goes, platform, noaa geostationary operational environmental satellites 
platform_39, meteosat, platform,  
platform_40, gms, platform, japan geostationary meteorological satellite 
platform_41, mtsat, platform, multi-functional transport satellite 
platform_42, himawari-8, platform,  
platform_43, weather stations, platform,  
platform_44, gpm, platform, global precipitation measurement 
platform_45, trmm, platform, tropical rainfall measuring mission 
platform_46, dmsp 5d-2/f8, platform, defense meteorological satellite program-f8 
platform_47, dmsp 5d-2/f10, platform, defense meteorological satellite program-f10 
platform_48, dmsp 5d-2/f11, platform, defense meteorological satellite program-f11 
platform_49, dmsp 5d-2/f13, platform, defense meteorological satellite program-f13 
platform_50, dmsp 5d-2/f14, platform, defense meteorological satellite program-f14 
platform_51, dmsp 5d-3/f15, platform, defense meteorological satellite program-f15 
platform_52, dmsp 5d-3/f16, platform, defense meteorological satellite program-f16 
platform_53, dmsp 5d-3/f17, platform, defense meteorological satellite program-f17 
platform_54, dmsp 5d-3/f18, platform, defense meteorological satellite program-f18 
platform_55, dmsp 5d-3/f19, platform, defense meteorological satellite program-f19 
platform_56, metop-a, platform, meteorological operational satellite - a 
