zotero key, pdf key, title, mission/instruments, models, dois, datasets, dois & datasets mapped
MVVGVHJ8,B2I6L9SM,2016_Rohtash_Study on Comparison of Indian Ozonesonde Data with Satellite Data.pdf,'uars/mls'(29); 'aura/mls'(19); 'noaa-18/sbuv/2'(2); 'nimbus-7/sbuv'(1); 'aura/omi'(1); 'noaa-16/sbuv/2'(1), , 
DUFH8SQN,IC6NPFG7,2014_Saha_Effects on stratospheric moistening by rates of change of aerosol optical depth.pdf,'aura/mls'(3); 'aqua/modis'(3); 'terra/modis'(1), , 
8P3FDVX2,JLMIK7IR,2014_Medvedeva_Comparison of ground-based OH temperature data measured at Irkutsk (52°N.pdf,'aura/mls'(14), , 
43FKDXYB,RSRS666B,2015_Tang_Changes in stratospheric ClO and HCl concentrations under different greenhouse.pdf,'aura/mls'(1), , 
KNNTP9AR,T7QZ8U4C,2017_Wargan_Evaluation of the Ozone Fields in NASA’s MERRA-2 Reanalysis.pdf,'uars/mls'(31); 'aura/omi'(8); 'nimbus-7/sbuv'(6); 'aura/mls'(5); 'nimbus-7/toms'(3); 'noaa-11/sbuv/2'(2); 'noaa-14/sbuv/2'(2); 'suomi-npp/cris'(1); 'suomi-npp/atms'(1); 'erbs/sage ii'(1); 'noaa-17/sbuv/2'(1); 'noaa-16/sbuv/2'(1), 'merra'(181); 'merra-2'(167); 'geos-5'(2), 
E3J8WWZT,PAHM94ZI,2019_Froidevaux_Evaluation of CESM1 (WACCM) free-running and specified dynamics atmospheric.pdf,'aura/mls'(20); 'uars/mls'(2); 'uars/haloe'(1), 'merra'(9), 10.5067/MEASURES/GOZCARDS/DATA3004, , GozMmlpH2O
LC66ZILT,QW6PHEQ8,2015_Lee_Isotopic changes due to convective moistening of the lower troposphere.pdf,'aura/mls'(1), , 
JPW5ETT9,62JTFY4P,2009_Eckermann_High-altitude data assimilation system experiments for the northern summer.pdf,'aura/mls'(1); 'uars/mls'(1), , 
6DRTGJDT,QXF7MAWH,2017_Glotfelty_Impact of future climate policy scenarios on air quality and aerosol-cloud.pdf,'aura/omi'(1), , 
U4DN5ARQ,TURV5SF9,2013_Oksanen_Impacts of increasing ozone on Indian plants.pdf,'aura/omi'(1); 'aura/mls'(1), , 
Z3WIH6WA,4W29B7VD,2009_Morris_Inter-hemispheric asymmetry in polar mesosphere summer echoes and temperature.pdf,'aura/mls'(6), , 
IYIY8QNB,VGR9P3U9,2010_Luo_Interpretation of Aura satellite observations of CO and aerosol index related.pdf,'aura/mls'(7); 'aura/omi'(5); 'aqua/airs'(1), 'geos-chem'(15); 'gdas'(2), 
E8ZCWP9N,IX77F57R,2018_Nikolashkin_Investigation of sudden stratospheric warming by the Rayleigh lidar in Yakutsk.pdf,'aura/mls'(4), , 
E6KNFZNI,KHEJXGFX,2014_Polyakova_Ionospheric effects of sudden stratospheric warmings in eastern Siberia region.pdf,'aura/mls'(5), , 
ZDTKPR43,LN6C9R7D,2018_Dolgii_Lidar system for measurement of vertical profiles of ozone in the upper.pdf,'aura/mls'(9); 'aura/omi'(1), , 
PZMV6MH8,EWLIETQD,2016_Sridharan_Long-term (2004–2015) tendencies and variabilities of tropical UTLS water vapor.pdf,'aura/mls'(2), , 
K936WC5C,IYHGR66G,2017_Kim_Long-term trend of mesospheric temperatures over Kiruna (68°N 21°E) during.pdf,'aura/mls'(2), , 
DAKG26JI,DDNUIR8A,2016_Eswaraiah_Mesospheric signatures observed during 2010 minor stratospheric warming at King.pdf,'aura/mls'(1), 'geos-5'(1), 
ZLDF9UXD,J8PBH4AZ,2015_Qiu_Temperature controlled icy dust reservoir of sodium.pdf,'aura/mls'(2), , 
WJ4JLX8I,KV7LAF3M,2009_Chernigovskaya_Morphological features of the atmosphere temperature regime in the south region.pdf,'aura/mls'(5), , 
FEZFRDY9,LXK78QUR,2016_Hervig_Mid-latitude mesospheric clouds and their environment from SOFIE observations.pdf,, , 
M6TF9I6H,PWJ9NJZE,2015_Fiedler_On the early onset of the NLC season 2013 as observed at ALOMAR.pdf,'aura/mls'(2), 'merra'(6), 
7QBKQWKS,FIJVB5P2,2010_Massart_On the Merits of Using a 3D-FGAT Assimilation Scheme with an Outer Loop for.pdf,, , 
G4WJEQVH,8XMX3VLF,2011_Nielsen_On the origin of mid-latitude mesospheric clouds.pdf,'aura/mls'(1), , 
AJNRFVE8,XU9UP9FT,2009_Kuttippurath_Ozone depletion in the Arctic winter 2007–2008.pdf,'aura/mls'(1), , 
RKP3PH6W,UQNB38AN,2011_Nair_Ozone in the marine boundary layer of Bay of Bengal during post-winter period.pdf,'aura/omi'(1), , 
Y72U7Z8M,TE4N34RI,2018_Ma_Quantifying impacts of crop residue burning in the North China Plain on.pdf,'aura/omi'(1); 'aura/mls'(1); 'terra/modis'(1); 'aqua/modis'(1), 'environmental modeling'(1), 
KQ3IHJAZ,Q7HCU8KP,2017_Hocke_Response of the middle atmosphere to the geomagnetic storm of November 2004.pdf,'aura/mls'(15), , 
75SI5MX7,GX24L6QH,2015_Choi_Seasonal behavior and long-term trends of tropospheric ozone its precursors.pdf,, 'geos-chem'(1), 
