zotero key, pdf key, title, mission/instruments couples, single instruments, models, dois, datasets, dois & datasets mapped
T94N4ZHX,ACGQAB3V,2018_Vasilkov_A cloud algorithm based on the O2-O2 477nm absorption band featuring an.pdf,'terra/modis'(1); 'aqua/modis'(1); 'aura/omi'(1); 'aqua/amsr-e'(1), 'omi'(37); 'modis'(5); 'gmi'(5); 'amsr-e'(3), 'geos-5'(2), 
JGAVQD99,SC9I43BL,2016_Han_Vertical structure of foggy haze over the Beijing-Tianjin-Hebei area in January.pdf,'terra/modis'(3); 'aqua/modis'(2); 'aura/omi'(1); 'suomi-npp/omps'(1), 'modis'(18); 'omi'(5); 'omps'(1), , 10.5067/Aura/OMI/DATA3001, , OMTO3d
8UELMAAH,8EPZBBWR,2020_Burney_The downstream air pollution impacts of the transition from coal to natural gas.pdf,, 'omi'(4); 'modis'(3); 'airs'(2), 'merra'(2), 10.5067/Aura/OMI/DATA2025; 10.5067/OU3HJDS973O0; 10.5067/Aura/OMI/DATA2023; 10.5067/Aura/OMI/DATA3003, OMAERUVd; M2TMNXRAD; OMAERUV, OMTO3G; OMAERUVd; OMAERUV; OMSO2G; M2TMNXRAD
ITG3HBB9,T3W3K8Q9,2017_Chen_Stratospheric ozone change over the Tibetan Plateau.pdf,'aura/omi'(2); 'meteor-3/toms'(1); 'nimbus-7/toms----level 3'(1); 'aura/omi----level-3'(1); 'nimbus-7/toms'(1), 'toms'(19); 'omi'(15); 'sage ii'(1), , 
QZ5R37IS,LQ8ZVNJY,2014_Gu_Anthropogenic emissions of NOx over China.pdf,'aura/omi'(2); 'aura/mls'(1), 'omi'(53); 'mls'(1), 'geos-chem'(2), 
T6D76BLQ,56ZJTQ2E,2020_Kim_Concentrations of criteria pollutants in the contiguous U.pdf,, , , 10.5067/Aura/OMI/DATA2015, OMSO2_CPR; OMHCHO; OMSO2, OMSO2_CPR; OMHCHO; OMSO2
EWLPEI3X,QD7UI5GX,2019_Kourtidis_An Alternative Approach for Deriving Emission Inventories Solely From Satellite.pdf,'aura/omi'(2), 'omi'(5), , 
GZZSXRDJ,EKAJVLGZ,2018_Saturno_African volcanic emissions influencing atmospheric aerosols over the Amazon.pdf,'aura/omi'(1), 'omi'(18), 'gdas'(1), 10.5067/Aura/OMI/DATA2022, , OMSO2
PJUINSL6,5JW5SAAC,2017_Kauppi_Aerosol-type retrieval and uncertainty quantification from OMI data.pdf,'aqua/modis'(6); 'aura/omi'(2); 'terra/modis'(1), 'omi'(41); 'modis'(9), , 10.5067/Aura/OMI/DATA2001; 10.5067/Aura/OMI/DATA1004; 10.5067/Aura/OMI/DATA3006; 10.5067/Aura/OMI/DATA1001; 10.5067/Aura/OMI/DATA2007; 10.5067/Aura/OMI/DATA1002, OMAERO; OML1BIRR; OMAEROZ; OMLER, OML1BIRR; OML1BRVG; OMCLDO2; OMAEROZ; OMAERO; OMLER; OML1BRUG
DR5RMFXC,7X74TMJ6,2010_Bergstrom_Aerosol spectral absorption in the Mexico City area.pdf,, 'omi'(2); 'modis'(1), , 
KPRGGL3Z,4GUD4XR4,2009_Council_Global Sources of Local Pollution.pdf,, 'mls'(2); 'omi'(2); 'ro'(1); 'airs'(1); 'pem'(1); 'modis'(1); 'toms'(1), 'geos-chem'(1), 
4PEJVYLB,SA8UI6SG,2020_Zhou_The relationship between solar-induced fluorescence and gross primary.pdf,'oco-2/oco-2'(1), 'omi'(2); 'modis'(2); 'oco-2'(1), , 
APKP7VV9,SFKAKDRQ,2013_Lee_The effect of ozone and aerosols on the surface erythemal UV radiation.pdf,'aura/omi'(2), 'omi'(36); 'toms'(4); 'sbuv'(1); 'seawifs'(1), , 
K63QX4SK,Y4GNJYGC,2015_Kim_Temporal and spatial distribution of tropospheric NO2 over Northeast Asia using.pdf,'aura/omi'(1), 'omi'(13), , 
24XII63X,8JBL5VL8,2020_Hu_Study on calculation and validation of tropospheric ozone by ozone monitoring.pdf,'aura/omi'(3); 'aura/mls'(2); 'uars/mls'(1), 'omi'(56); 'mls'(54); 'toms'(9); 'sbuv'(1); 'buv'(1), , 
L2SRTTGB,V2F6X3ZW,2019_Zhu_Spatiotemporally mapping of the relationship between NO2 pollution and.pdf,'aura/omi'(2), 'omi'(26); 'modis'(1), 'merra'(1); 'merra-2'(1), , OMNO2, OMNO2
LC8GE9PN,JKXN9YER,2012_Krzyścin_Space-based estimation of the solar UV-B doses for psoriasis heliotherapy in.pdf,'aura/omi'(2), 'omi'(10), , 
RLH65AST,NPGWH8A9,2020_Vaquero-Martínez_Water vapor satellite products in the European Arctic.pdf,'terra/modis'(2); 'aqua/airs'(1); 'aqua/modis'(1); 'aura/omi'(1), 'modis'(45); 'omi'(41); 'airs'(33), , 
ZDSMBHD9,R8JDRP2T,2018_Doelling_Vicarious Calibration and Validation.pdf,'aqua/modis'(15); 'terra/modis'(7); 'aura/omi'(1), 'modis'(44); 'avhrr'(21); 'viirs'(14); 'omi'(2); 'amsu-b'(1); 'seawifs'(1); 'solstice'(1), , 
Y6T8IBLX,W579X5TA,2008_Irie_Validation of OMI tropospheric NO2 column data using MAX-DOAS measurements deep.pdf,'terra/modis'(5); 'aqua/modis'(5); 'aura/omi'(1), 'omi'(40); 'modis'(28); 'haloe'(1), 'geos-chem'(4), 
EXYZLLHH,VSSFHEN6,2013_Mateos_Validation of OMI satellite erythemal daily dose retrievals using ground-based.pdf,'aqua/modis----level-3'(1); 'terra/modis----level-3'(1), 'omi'(33); 'toms'(5); 'modis'(4), , 
79ZVERAE,JIK6LGPK,2014_Baek_Validation of OMI HCHO data and its analysis over Asia.pdf,'aura/omi'(1), 'omi'(66), 'geos-chem'(27), 
SPEB6ELD,KGLSSERI,2012_Wong_Validation of MODIS MISR OMI and CALIPSO aerosol optical thickness using.pdf,, 'modis'(40); 'omi'(19); 'ro'(2), , 
A64VUYF9,RZH2D7NS,2017_Baek_Validation of Brewer and Pandora measurements using OMI total ozone.pdf,'aura/omi'(1), 'omi'(48); 'toms'(17); 'buv'(1); 'omps'(1); 'susim'(1), , 
6S99GGBV,QPU8N23E,2018_Vaquero-Marttnez_Validation of Atmospheric Water Vapor from Several Satellite Instruments Using.pdf,'terra/modis'(4); 'aqua/modis'(4); 'aqua/airs'(3); 'meteosat/seviri'(1), 'omi'(11); 'modis'(6); 'airs'(6); 'seviri'(5), , 
Z58F237X,B2DX2SBV,2013_David_Tropospheric column O3 and NO2 over the Indian region observed by Ozone.pdf,'aura/omi'(3); 'aura/mls'(1); 'terra/modis'(1); 'aqua/modis'(1), 'omi'(8); 'mls'(2); 'toms'(1); 'modis'(1), , 
48DN2CSB,DB2L2JBN,2013_Bowman_Toward the next generation of air quality monitoring.pdf,'nimbus-7/toms'(1); 'gosat/tanso-fts'(1), 'omi'(6); 'cris'(3); 'omps'(2); 'airs'(2); 'ace-fts'(2); 'toms'(1); 'tanso-fts'(1); 'tropomi'(1); 'mls'(1), 'merra'(1); 'geos-chem'(1), 
ZML52U4Y,Y4HB6UXQ,2006_Veefkind_Total ozone from the ozone monitoring instrument (OMI) using the DOAS technique.pdf,'aura/omi'(1), 'omi'(39); 'toms'(8); 'sbuv'(3); 'buv'(1); 'avhrr'(1), , 
JG3C2FZ8,BNN4394H,2013_Theys_Volcanic SO2 fluxes derived from satellite data.pdf,'aura/omi'(1); 'aqua/modis'(1); 'sentinel-5p/tropomi'(1), 'omi'(28); 'modis'(16); 'toms'(2); 'seviri'(2); 'tovs'(1); 'airs'(1); 'tropomi'(1), 'merra'(1), 
TM7HIRI7,EGPR2EPM,2020_Fedkin_Volcanic SO2 Effective Layer Height Retrieval for OMI Using a Machine Learning.pdf,'aura/omi'(2); 'suomi-npp/omps'(1), 'omi'(73); 'tropomi'(11); 'toms'(1); 'cris'(1); 'omps'(1), , 
V837GL6A,ZH97YHEJ,2015_Li_Variation of temporal and spatial patterns of NO2 in Beijing using OMI and.pdf,'aura/omi'(1), 'omi'(22); 'car'(2); 'gmi'(1), , 
W8EMZP6Z,2S92UT9T,2015_Ma_Validation of the OMI-TOMS and OMI-DOAS total ozone column data using.pdf,'aura/omi'(3), 'omi'(56); 'toms'(31), , 
L4ZX373V,MU3P6E9A,2020_Ssenyonga_Validation of OMI-DOAS total ozone column amounts against ground-based.pdf,'aura/omi'(4), 'omi'(41); 'toms'(2); 'buv'(1); 'lims'(1); 'tropomi'(1); 'omps'(1), , 
Q96GFREM,HHC3DPL9,2014_Vinken_Worldwide biogenic soil NOsubx-sub emissions inferred from OMI.pdf,'aura/omi'(2), 'omi'(76); 'modis'(2), 'geos-chem'(47); 'geos-5'(1), 
REVKT527,ABD8I9MI,2015_Bak_Validation of OMI total ozone retrievals from the SAO ozone profile algorithm.pdf,'aura/omi'(1); 'ep-toms/toms'(1), 'omi'(77); 'toms'(55); 'mls'(1), , 
WK9VFA82,L39BC9HV,2010_Hegarty_Winter- and summertime continental influences on tropospheric Osub3-sub and.pdf,, 'modis'(2), 'gdas'(9), 
YSWRTPXU,BCU3BVTL,2016_Travis_Why do models overestimate surface ozone in the Southeast United States.pdf,, 'omi'(8); 'ro'(6); 'gmi'(1), 'geos-chem'(58); 'geos-5'(3), 
KQ9LDZDP,ZAPWZC3F,2018_Surl_Which processes drive observed variations of HCHO columns over India.pdf,'aura/omi'(1); 'sentinel-5p/tropomi'(1), 'omi'(41); 'modis'(7); 'tropomi'(1), 'geos-chem'(32), 
LUVXF9JZ,MYXS8MM3,2010_Vasilkov_What do satellite backscatter ultraviolet and visible spectrometers see over.pdf,'cloudsat/cloudsat-cpr'(1); 'aqua/modis'(1), 'omi'(57); 'modis'(21); 'toms'(10); 'sbuv'(2); 'cloudsat-cpr'(1); 'ssm/i'(1); 'car'(1); 'ro'(1), , 
M2IS9N4N,9XAIQ4W9,2014_Wang_Water vapor retrieval from OMI visible spectra.pdf,'aura/omi'(2), 'omi'(53); 'modis'(20); 'ssm/i'(8), 'geos-5'(1); 'geos-chem'(1), 
F79TWXUG,E3IBUGV6,2014_Zhang_Variations of ground-level O3 and its precursors in Beijing in summertime.pdf,'aura/omi'(1), 'omi'(4); 'ro'(2), , 
M4NSIKRY,L8BXH2N5,2017_Khaykin_Variability and evolution of the midlatitude stratospheric -hack-break aerosol.pdf,'aura/mls'(3); 'erbs/sage ii'(1), 'omps'(10); 'sage ii'(9); 'mls'(5); 'solstice'(1), , 
BRIR3DKB,7MKFVQ74,2011_Jégou_Validity of satellite measurements used for the monitoring of UV radiation risk.pdf,'aura/omi'(3); 'aura/mls'(1); 'meteor-3/toms'(1); 'nimbus-7/toms'(1), 'omi'(65); 'avhrr'(4); 'toms'(3); 'mls'(1); 'sbuv'(1); 'seawifs'(1), , 
J9GRCD3U,2CEF6YBD,2009_Boersma_Validation of urban NO2 concentrations and their diurnal and seasonal.pdf,'aura/omi'(1), 'omi'(48), 'geos-chem'(17), 
KPZM9URI,J57YZHHP,2016_Brogniez_Validation of satellite-based noontime UVI with NDACC ground-based instruments.pdf,'aura/omi'(2), 'omi'(151); 'avhrr'(3); 'seviri'(1), , 
9659JSBL,3JZ784WY,2017_Zhang_What factors control the trend of increasing AAOD over the United States in the.pdf,'terra/modis'(2); 'aqua/modis'(2); 'aura/omi'(1), 'omi'(31); 'modis'(5); 'airs'(1), 'geos-chem'(12), 
58TGI3JS,KTGSPKIT,2009_Wu_Vertical distributions and relationships of cloud occurrence frequency as.pdf,'aqua/modis'(1), 'airs'(13); 'omi'(13); 'modis'(12); 'msu'(1), 'geos-5'(4), 
IKEKIZUU,3YHN4Q63,2018_Toihir_Variability and trend in ozone over the southern tropics and subtropics.pdf,'ep-toms/toms'(7); 'meteor-3/toms'(1); 'nimbus-7/toms'(1); 'aura/omi'(1), 'toms'(27); 'omi'(25); 'solstice'(3); 'sage ii'(2); 'buv'(1), , , OMTO3; TOMSEPL3, OMTO3; TOMSEPL3
4XIFGSDH,83PRBZDT,2008_Krotkov_Validation of SO2retrievals from the Ozone Monitoring Instrument over NE China.pdf,'aura/omi'(3); 'aqua/modis'(2), 'omi'(91); 'toms'(7); 'modis'(7); 'avhrr'(1), , 
5L7NTARC,QCAJQ82D,2016_Sharma_Validation of Satellite Estimated Solar Ultraviolet Radiation Data with Ground.pdf,'aura/omi'(2), 'omi'(25); 'toms'(4), , 
UMSJ5YEL,VR7KIG42,2009_Antón_Validation of OMI-TOMS and OMI-DOAS total ozone column using five Brewer.pdf,'aura/omi'(1), 'omi'(112); 'toms'(49), , 
3BUTCXQ5,PJKT2LPH,2008_Wenig_Validation of OMI tropospheric NO2column densities using direct-Sun mode Brewer.pdf,'aura/omi'(1), 'omi'(64); 'seawifs'(1); 'gmi'(1), 'geos-chem'(3), 
6DSZPNGX,I83FZMB5,2017_Vaquero-Martínez_Validation of integrated water vapor from OMI satellite instrument against.pdf,'aura/omi'(1), 'omi'(65); 'modis'(2), , 
T6FCC9SZ,5VSZ4WLP,2018_Zempila_Validation of OMI erythemal doses with multi-sensor ground-based measurements.pdf,'aura/omi'(15), 'omi'(160); 'toms'(4), , 
WC66AN67,36GMFPJE,2020_Compernolle_Validation of Aura-OMI QA4ECV NO2 climate data records with ground-based DOAS.pdf,'aura/omi----level 1'(1), 'omi'(86); 'tropomi'(13), , 10.5270/S5P-; 10.5270/S5P-s4ljg54; 10.5067/Aura/OMI/DATA2017, OMNO2; OMNO2d, OMNO2; OMNO2d; S5P_L2__NO2____HiR; S5P_L2__O3__PR_HiR
3S52JEPW,CR97TZGQ,2018_Huang_Validation of 10-year SAO OMI ozone profile (PROFOZ) product using Aura MLS.pdf,'aura/omi'(4); 'aura/mls'(1), 'omi'(119); 'mls'(93), , 
N2KJF7VX,L9P9B25X,2016_Wang_Validation and update of OMI Total Column Water Vapor product.pdf,'aura/omi'(2), 'omi'(164); 'ssmis'(58); 'ssm/i'(8); 'airs'(2), 'geos-chem'(1); 'merra'(1); 'merra-2'(1), 
R46JGKNN,BLITPFHE,2016_Park_Utilization of O4 slant column density to derive aerosol layer height from a.pdf,, 'omi'(35); 'modis'(10), , 
4FH9VSU8,BEY89Y7T,2015_Buchard_Using the OMI aerosol index and absorption aerosol optical depth to evaluate.pdf,'terra/modis'(3); 'aqua/modis'(3); 'aura/omi'(1), 'omi'(49); 'modis'(18); 'toms'(3), 'geos-5'(20); 'merra'(7), , OMAERUV, OMAERUV
MKR9E8Q7,ICUVHMZC,2014_Heath_Using a WRF simulation to examine regions where convection impacts the Asian.pdf,, 'mls'(1), 'merra'(10), 
HT2LDYXM,5SMW4TGN,2019_Silvern_Using satellite observations of tropospheric -chemNO_2 columns to infer.pdf,'aura/omi'(1), 'omi'(35); 'gmi'(4), 'geos-chem'(41); 'merra'(5); 'merra-2'(4), 
N2DVF63Q,E6ZN7YYC,2011_Ialongo_Use of satellite erythemal UV products in analysing the global UV changes.pdf,'aura/omi'(1), 'omi'(47); 'toms'(30); 'avhrr'(1); 'ro'(1); 'tim'(1), , 
T4PD85YY,5VNF8CGV,2009_Gruzdev_Validating NO2 measurements in the vertical atmospheric column with the OMI.pdf,'aura/omi'(1), 'omi'(30); 'solstice'(1); 'sage ii'(1), , 
EBALU3XE,6XZ86DCU,2020_Robinson_Using networked Pandora observations to capture spatiotemporal changes in total.pdf,'terra/modis'(3); 'aura/omi'(2); 'suomi-npp/omps'(1); 'aqua/airs'(1); 'aura/mls'(1), 'airs'(26); 'omps'(8); 'modis'(3); 'omi'(3); 'tropomi'(2); 'mls'(1); 'toms'(1), 'merra'(31); 'merra-2'(31), 10.5067/QBZ6MG944HW0; 10.5067/VJAFPLI1CSIV, , M2T1NXSLV; M2I3NPASM
5ZBM2HGI,3MZVWED2,2020_Arshad_Unprecedented reduction in airborne aerosol particles and nitrogen dioxide.pdf,'terra/modis'(3); 'aqua/modis'(1); 'aura/omi'(1), 'omi'(6); 'modis'(3); 'tropomi'(1), , 
T729P4MH,6A98KAZW,2015_González Abad_Updated Smithsonian Astrophysical Observatory Ozone Monitoring Instrument (SAO.pdf,'aura/omi'(3), 'omi'(26), 'geos-chem'(5); 'geos-5'(1), 
ZT8A2Q2V,MV45UT9R,2018_Koukouli_Updated -chemSO_2 emission estimates over China using OMI-Aura observations.pdf,'aura/omi'(7), 'omi'(37); 'tropomi'(2); 'tim'(2), 'geos-chem'(1), 
M8DHXAB9,NBSQ79IK,2020_Alvarado_Unexpected long-range transport of glyoxal and formaldehyde observed from the.pdf,'sentinel-5p/tropomi'(3); 'terra/modis'(1); 'aqua/modis'(1), 'tropomi'(10); 'omi'(5); 'modis'(4); 'viirs'(4), , 
9CJPZFMR,XB72K26X,2013_Määttä_Uncertainty quantification in aerosol optical thickness retrieval from Ozone.pdf,'aura/omi'(1), 'omi'(6); 'toms'(1); 'modis'(1), , 
WXY3H2ZR,RGHZUIE6,2018_Lamy_Ultraviolet radiation modelling from ground-based and satellite measurements on.pdf,, 'sbuv'(10); 'omi'(7); 'mls'(4); 'toms'(1), , 
GLUH7MWK,EZEIBQ7T,2015_Lamsal_U.pdf,'aura/omi'(2), 'omi'(94); 'gmi'(7); 'modis'(1); 'tropomi'(1); 'car'(1), 'merra'(1); 'geos-chem'(1), 
EIZKHVJX,CXAAU3MV,2018_Tiwari_Tropospheric Ozone and its Impacts on Crop Plants.pdf,'aura/omi'(1), 'omi'(3); 'toms'(2); 'car'(1), 'geos-chem'(1), 
MJJFKV3P,RAXU7CRY,2013_Ma_Tropospheric NO2 vertical column densities over Beijing.pdf,'aura/omi'(3), 'omi'(51), , 
ZWLQTHVG,A55Q7W4N,2013_Noia_Tropospheric ozone column retrieval from OMI data by means of neural networks.pdf,'aura/omi'(2); 'aura/mls'(1); 'aura/hirdls'(1), 'omi'(44); 'hirdls'(1); 'mls'(1), , 
3XUPTST9,JUJIENSB,2014_Ebojie_Tropospheric column amount of ozone retrieved from SCIAMACHY.pdf,'aura/mls'(1); 'aura/omi'(1), 'mls'(35); 'omi'(34); 'toms'(1); 'sage ii'(1); 'ace-fts'(1); 'ro'(1), , 
9IDK25NW,TGMBFVTK,2012_Russell_Trends in OMI NO2 observations over the United States.pdf,'aura/omi'(1), 'omi'(38); 'modis'(1), 'geos-chem'(1), 
R458BHJ5,9YISSGLP,2015_Geller_Tropical Gravity Wave Momentum Fluxes and Latent Heating Distributions.pdf,'aqua/modis'(4); 'aura/hirdls'(1); 'uars/mls'(1); 'uars/claes'(1), 'hirdls'(9); 'modis'(4); 'mls'(3); 'claes'(2); 'airs'(2), , 
JJS4TNPV,Y2VP5FI6,2008_van der A_Trends seasonal variability and dominant NOxsource derived from a ten year.pdf,'aura/omi'(2), 'omi'(2); 'toms'(1); 'avhrr'(1), , 
SZVR4ZD9,7Y2BTCZ7,2019_Georgoulias_Trends and trend reversal detection in 2 decades of tropospheric -chemNO_2.pdf,'sentinel-5p/tropomi'(1), 'scr'(2); 'tropomi'(2); 'omi'(1), , 
YC8TBUQW,CZG9CKET,2008_Zhang_Transpacific transport of ozone pollution and the effect of recent Asian.pdf,'aqua/airs'(2); 'aura/omi'(1), 'airs'(17); 'omi'(15); 'pem'(1), 'geos-chem'(30), 
67L86L7H,EG4ADQK8,2018_Cuesta_Transboundary ozone pollution across East Asia.pdf,, 'omi'(10); 'ace-fts'(1); 'mls'(1); 'modis'(1); 'airs'(1), , 
KT78S9VY,RY3ZPUHS,2010_Walker_Trans-Pacific transport of reactive nitrogen and ozone to Canada during spring.pdf,'aura/omi'(2), 'omi'(9), 'geos-chem'(8), 
WEJH2AJH,CJDWMMHU,2016_Hu_Trans-Pacific transport and evolution of aerosols.pdf,'terra/modis'(2); 'aura/omi'(1); 'aura/omi----level 2'(1), 'omi'(21); 'modis'(17), 'merra'(2), 
B4W8FJN2,WH3G7YN2,2014_Pinedo Vega_Trend of total column ozone over Mexico from TOMS and OMI data (1978-2013).pdf,, , , 
WTXSGYVM,VUJ6GMMW,2018_Weber_Total ozone trends from 1979 to 2016 derived from five merged observational.pdf,'uars/mls'(1); 'aura/mls'(1); 'nimbus-7/toms'(1), 'sbuv'(16); 'omi'(2); 'buv'(1); 'sage ii'(1); 'mls'(1); 'toms'(1), , 
B75NIW9E,UB46T6FE,2014_Chehade_Total ozone trends and variability during 1979–2012 from merged data sets of.pdf,, 'sbuv'(29); 'toms'(12); 'omi'(10); 'buv'(2), , 
UZDD4KB5,NJ7NJ5I5,2020_Chan_Total column water vapor retrieval for Global Ozone Monitoring Experience-2.pdf,, 'omi'(3); 'avhrr'(1), 'merra'(2); 'geos-5'(2); 'merra-2'(2), 
7PEW3CJW,MCUTJMCG,2018_She_Towards a comprehensive view of dust events from multiple satellite and ground.pdf,'aura/omi'(2); 'himawari-8/ahi'(1), 'omi'(12); 'ahi'(11), 'gdas'(1), 
3GGI6D5K,42MQJUQ2,2016_Gupta_Top-of-the-atmosphere shortwave flux estimation from satellite observations.pdf,'aura/omi'(2); 'aqua/modis'(1), 'omi'(66); 'modis'(5); 'toms'(5); 'seawifs'(1); 'omps'(1), , 
XT5EVBVM,W557D96S,2012_Damiani_Three years of ground-based total ozone measurements in the Arctic.pdf,'aura/omi'(5), 'omi'(108); 'toms'(65); 'sbuv'(1); 'buv'(1), , 
KX3ZJIHC,VUKM75D3,2009_Bowman_The zonal structure of tropical O3 and CO as observed by the Tropospheric.pdf,, 'omi'(8); 'modis'(2); 'ace-fts'(1); 'toms'(1), 'geos-chem'(52), 
DSD9QQQG,CPLWY75I,2008_Sandford_The wintertime two-day wave in the polar stratosphere mesosphere and lower.pdf,'aura/mls'(5), 'mls'(10), , 
BBA5K7PN,79Q3C4WQ,2019_Eleftheratos_The use of QBO ENSO and NAO perturbations in the evaluation of GOME-2 MetOp A.pdf,'aura/omi----level-3'(1); 'aura/omi'(1); 'suomi-npp/omps'(1), 'sbuv'(55); 'omi'(37); 'toms'(36); 'omps'(35); 'buv'(2), , 
NSRNCS34,TYS58ZIA,2018_Lindfors_The TROPOMI surface UV algorithm.pdf,'aura/omi'(1); 'meteosat/seviri'(1); 'sentinel-5p/tropomi'(1), 'tropomi'(50); 'omi'(31); 'toms'(17); 'avhrr'(2); 'seviri'(1), , 
JE8D6TRU,HYW3KSVP,2016_Beirle_The STRatospheric Estimation Algorithm from Mainz (STREAM).pdf,'aura/omi'(1), 'omi'(54); 'tropomi'(20); 'sim'(1), 'geos-chem'(1), , OMNO2, OMNO2
S2WFWLRI,YWICPB9X,2013_Adams_The spring 2011 final stratospheric warming above Eureka.pdf,'aura/omi'(1), 'gmi'(48); 'omi'(18); 'sage ii'(2); 'mls'(2); 'sage iii'(1), 'geos-5'(5); 'merra'(2), , OMDOAO3, OMDOAO3
