zotero key, pdf key, title, mission/instruments, models, dois, datasets, dois & datasets mapped
PPPEEUKP,JCA4HY5V,2017_Sharma_Dust storms and their influence on optical and chemical properties of aerosols.pdf,'terra/modis'(2); 'aqua/modis'(2), , 
4MIEA86E,RHID7CV6,2018_Delgado_Concurrent changes in spatial distribution of the demersal community in.pdf,'aqua/modis'(1), , 
KP292MEY,G44XJBAX,2020_Farfán_Characteristics of mesoscale convection over northwestern Mexico the Gulf of.pdf,, , 
IBMJI5MX,X46P4F48,2020_Scotti_Enhanced flood mapping using synthetic aperture radar (SAR) images hydraulic.pdf,, 'imerg'(1), 
8BWRFJJN,ZCT7G7ZD,2020_Subba_Recent trend in the global distribution of aerosol direct radiative forcing.pdf,'terra/modis'(1); 'aqua/modis'(1), , 
25J6R7XK,KQMAJ2ZX,2020_Korte_Multiple drivers of production and particle export in the western tropical.pdf,'aqua/modis'(1), , 
R5KLVAQL,LS9ZH5ZX,2020_Anoruo_Space and ground-based remote sensing comparison of seasonal interaction of.pdf,'aura/omi'(12); 'terra/modis'(1); 'aqua/modis'(1), 'merra-2'(2); 'merra'(2), 
FC9JNXKN,TS23ME4Z,2019_Rani_Distribution of Satellite derived surface Chlorophyll-a and associated physical.pdf,, , 
7S4NY2TH,8JL8IVE7,2018_Sharafa_An EOT approach to analyze the temporal variability of rainfall data and some.pdf,, , 
NV56ZAAD,LGLE8KT7,2019_Popov_Analysis of local climate variations using correlation between satellite.pdf,'aqua/airs----level 3'(1), , 
Z8JEGZB9,77Y89BMM,2020_Yeditha_Forecasting of extreme flood events using different satellite precipitation.pdf,, 'imerg'(1), 
8PDMIV6G,MYD3ZAWI,2020_Abdelkareem_Use of optical and radar remote sensing satellites for identifying and.pdf,, , 
F9NHLTM3,UVE9DWKU,2018_Ma_Observational constraint on cloud susceptibility weakened by aerosol retrieval.pdf,, , 10.5067/MEASURES/SWDB/DATA304, , SWDB_L3M10
JSDNZNTX,6DXF62C6,2016_Nababan_Sea surface temperature and chlorophyll-a concentration variabilities of.pdf,'terra/modis'(1); 'aqua/modis'(1), , 
9MXS2V9V,WPQ8K4F6,2011_Labow_Diurnal variation of 340 nm Lambertian equivalent reflectivity due to clouds.pdf,'terra/modis'(10); 'aqua/modis'(10); 'aura/omi'(1), , 
JKKW4IXP,L7KE772L,2017_Jaffe_Meteorological anomalies lead to elevated O3 in the western U.pdf,'aqua/airs'(2); 'aura/omi'(1), 'gdas'(2), 
WVM62ZRW,VBAC4J8S,2017_Norzagaray-Lopez_Aragonite saturation and pH variation in a fringing reef are strongly.pdf,, , 
DGKB74DB,4IW4K8V4,2018_Logan_Anomalous Lightning Behavior During the 26-27 August 2007 Northern Great Plains.pdf,, 'merra-2'(4); 'merra'(4), 
DHQZ2FS7,KHSX87UG,2020_Ustinov_Variations of methane in the Antarctic atmosphere in 2009-2017 by ground-based.pdf,, , 
ATNQD98P,CVQ2QZ4Z,2019_Ali_Analysis of AOD from MODIS-Merged DT-DB Products Over the Arabian Peninsula.pdf,'terra/modis'(9); 'aqua/modis'(8); 'terra/modis----level-3'(2); 'aqua/modis----level-3'(2); 'aqua/modis----level-2'(1); 'terra/modis----level-2'(1), , 
F9NHLTM3,DAKDFSTI,2018_Ma_Observational constraint on cloud susceptibility weakened by aerosol retrieval.pdf,, , 10.5067/MEASURES/SWDB/DATA304, , SWDB_L3M10
3KY72IIE,GWC7NGTR,2020_Singh_Impact of lockdown on air quality in India during COVID-19 pandemic.pdf,, , 
T2LURN8T,YX8HPBZS,2016_Mompean_The influence of nitrogen inputs on biomass and trophic structure of ocean.pdf,'aqua/modis'(1), , 
HLD7I686,BPI98TIH,2016_Lourenco_Upwelling areas as climate change refugia for the distribution and genetic.pdf,, , 
ITQANIGS,HK3M3MTQ,2020_Rigual-Hernandez_Full annual monitoring of Subantarctic Emiliania huxleyi populations reveals.pdf,, , 
XEZT9EVQ,B7RHFCBF,2016_Behara_An OGCM study of the impact of rain and river water forcing on the Bay of Bengal.pdf,, , 10.5067/MEASURES/GSSTF/DATA309, GSSTF, GSSTF; GSSTFMC
MA6BBQMF,YDKGALU4,2017_Mansouri_Spatial and temporal variation of nitrogen dioxide measurement in the Middle.pdf,'aura/omi----level 2'(1), , 
B28GERPC,HN567KMU,2018_Ialongo_Application of satellite-based sulfur dioxide observations to support the.pdf,'aura/omi'(3), , 10.5067/MEASURES/SO2/DATA403, , MSAQSO2L4
VMHKESLD,SIG98IFL,2020_Kumar_Assessment of atmospheric aerosols over Varanasi.pdf,'terra/modis'(4), , 
CSYBPXRQ,E84RHVQR,2020_Sakka_Spatial variability of aerosols over Greek archaeological sites using.pdf,'aqua/modis'(2); 'terra/modis'(1); 'aqua/modis----level 3'(1), , 
7QQCLJW6,LLLW2I9T,2020_Tangunan_Variations in coccolithophore productivity off South Africa over the last 500.pdf,, , 
7Q4UZLE9,GTSXRSSV,2020_Ding_Assessing the Impacts of Two Averaging Methods on AIRS Level 3 Monthly Products.pdf,, 'merra'(34); 'merra-2'(31), 10.5067/0JRLVL8YV2Y4; 10.5067/9SC1VNTWGWV3; 10.5067/3Z173KIE2TPD; 10.5067/QBZ6MG944HW0; 10.5067/Aqua/AIRS/DATA319, , M2TMNXFLX; AIRX3STM; M2I1NXASM; M2SDNXSLV; M2I3NPASM
ZZY63QAY,GFERTT9M,2019_Busse_Responses of Salmonella typhimurium LT2 Vibrio harveyi and Cryptosporidium.pdf,'terra/modis'(1), , 
8647V7EA,AT7PP4X3,2020_Bibi_Long-term (1980-2018) spatial and temporal variability of the atmospheric dust.pdf,, 'merra'(13); 'merra-2'(11); 'geos-5'(1), 10.5067/FH9A0MLJPC7N, , M2TMNXAER
CFNQF9LD,VTMCY8BC,2018_Laiolo_Long-term eruptive trends from space-based thermal and SO2 emissions.pdf,'terra/modis'(2); 'aqua/modis'(1); 'aura/omi'(1), , 10.5067/Aura/OMI/DATA2023, , OMSO2G
NBL9F2RP,VTHED4QL,2019_Emetere_Image Re-processing of Satellite Imageries.pdf,, , 
